,key,name,week,type,sseStd,sseRobust,sseHybrid,sseHybridRobust,sseStdSplitFoul,sseRobustSplitFoul,sseHybridSplitFoul,sseHybridRobustSplitFoul,meanErrorStd,meanErrorRobust,meanErrorHybrid,meanErrorHybridRobust,meanErrorStdSplitFoul,meanErrorRobustSplitFoul,meanErrorHybridSplitFoul,meanErrorHybridRobustSplitFoul,sseStdMar,sseRobustMar,sseHybridMar,sseHybridRobustMar,sseStdSplitFoulMar,sseRobustSplitFoulMar,sseHybridSplitFoulMar,sseHybridRobustSplitFoulMar,meanErrorStdMar,meanErrorRobustMar,meanErrorHybridMar,meanErrorHybridRobustMar,meanErrorStdSplitFoulMar,meanErrorRobustSplitFoulMar,meanErrorHybridSplitFoulMar,meanErrorHybridRobustSplitFoulMar,outlierCount,errorPos,errorNeg,foul30,foul60,noClimb,pTeamOutlierPct,pTeamDelta4Pct,sseFracOfAll,errMagDiffFromAll
0,2020arli,Arkansas Regional,1,Regional,7652.593709088169,8311.15785003963,7538.525223626813,7722.558957826606,6367.441317172965,7487.300850770314,5860.367341994553,6289.2986313723295,6.399790312545335,8.659013607185067,9.458777477591388,10.715870349570286,-6.017200166261219,-3.507108258768601,-2.9582130012151255,-1.4502515163833876,31382.66388022314,27870.8185617564,28563.7319611794,25162.70332778561,24157.35827369667,24351.739554655076,22502.29803017918,21706.231892411844,-19.460188855975957,-16.502055870731446,-16.670709350581834,-13.842991315648716,1.5831940651377383,3.7353888675895752,4.372673570531815,6.394453422672321,4,75,25,25,25,25,28,28,1.0860576382317741,2.2592232946397317
1,2020bcvi,Canadian Pacific Regional,1,Regional,7275.361283093429,7246.023522749796,6204.334933755425,6137.196841935472,9068.052245202762,8897.768515184214,8414.520856498897,8380.76216615132,1.7500603586709003,1.5090468145945397,2.633710577303317,1.6383859540605394,-14.175338089481063,-12.223590670572648,-13.29168787084866,-12.094251531106677,25938.935459182147,26585.83194397289,24126.050462870095,26533.077394788823,33984.390429441475,32673.338841871853,33402.996815279905,33792.342530489215,5.25650398279284,-11.075099780339555,2.345236722732076,-11.418021645288581,3.2150611366939787,-0.6002112520840193,0.30379387663323393,-0.9431331170330282,2,50,50,50,50,0,20,20,0.9959675184225135,-0.24101354407636055
2,2020cadm,Del Mar Regional,1,Regional,6979.206246435607,6853.4782626204515,6795.350428605613,6781.851708597155,6691.422417793688,6319.508769802291,6006.754071325071,5684.334030773813,4.3263274996122485,5.397346429400163,5.777660827908537,6.165106479023979,-0.7094384716873458,-0.618653209535503,0.7418948566089535,0.14910684008824251,26041.23935846181,23218.681933228858,26647.667637722385,25813.806641296633,24785.406010267077,22133.417923418972,23242.633995141234,22190.11728243337,3.1879479388837333,2.9850512277659464,7.439479622335015,7.3660808745054736,-11.676928544208842,-11.963231107214598,-7.425396860757544,-7.582201460475149,1,100,0,0,0,100,8,0,0.9819853462735298,1.0710189297879147
3,2020cala,Los Angeles Regional,1,Regional,12334.202708697088,12334.202708697088,9811.373219110774,9811.373219110774,10338.29844175359,10338.29844175359,8470.737171846065,8470.737171846065,6.91803769349542,6.91803769349542,6.005598753652694,6.005598753652694,0.061720029779803294,0.061720029779803294,-0.8507189100629261,-0.8507189100629261,26548.165407904256,26548.165407904256,23887.173492197304,23887.173492197304,28686.309547286644,28686.309547286644,27199.92804912919,27199.92804912919,-7.845630999895997,-7.845630999895997,-4.774063896348765,-4.774063896348765,-3.799067462103334,-3.799067462103334,-0.727500358556062,-0.727500358556062,0,0,0,0,0,0,0,0,1.0,0.0
4,2020caln,Los Angeles North Regional,0,Regional,12898.588521738391,14170.232594890773,13870.884116109852,15113.31042513353,13263.422686371201,13711.868970540076,14498.486923257658,14857.109171125081,6.160328391930909,5.919490812185341,3.2656290184619285,2.88352883590786,3.276834728094868,3.856509197303385,0.38213535462587456,0.8205472210258642,76711.82430639121,74635.97513598057,84020.99151752298,83319.54941427644,83079.95922419742,82029.5868852296,90117.12960151957,90389.22381275306,-11.65869025915488,-6.498443753829698,-3.180670423181187,0.19962495932453073,-17.327910569210268,-12.583783532529083,-8.849890733236617,-5.885714819374908,3,66,33,33,33,33,28,24,1.0985878471128248,-0.24083757974556796
5,2020ctnct,NE District Northern CT Event,0,District,7212.891957216226,6809.395983385047,5895.019067160754,5840.749157189741,7444.270276947798,6765.62877098632,6013.407023768882,5815.738144403312,-2.065612936185339,1.2371080348778718,0.4262548927836833,2.3240026875421487,-2.6710101614046726,0.8434223537463148,-0.17914233243567834,1.9303170064106143,30513.044434356423,27654.646319993786,25497.707354824266,23866.539232876108,31852.1054709761,28375.78982591533,26516.533611009578,25119.632269245398,21.866744499227135,18.251851636853765,19.75896478017932,18.007187107325997,21.96290635470397,19.455248592594987,19.85512663565614,19.210584063067223,3,100,0,0,0,66,25,16,0.9440590575563111,-0.828504901307467
6,2020ctwat,NE District Waterbury Event,1,District,6503.7759141207325,6396.303692290557,6140.1280275749,6266.82760267172,6470.7335588567,6529.696565384622,6057.128674908614,6224.171790800953,-8.653424928095673,-10.017224542772144,-5.896668205486816,-6.7913342645407955,-13.904397694352879,-14.926691691011072,-11.147640971743995,-11.700801412779748,22927.9056118874,22274.486983891402,23854.361558778524,24603.181116324726,18165.238604439528,17762.788073664506,22318.64263416559,22943.34182648447,-8.127755503859623,-8.043865756635986,-8.482165584662358,-8.42713307934716,-9.94120825712307,-9.872211051276276,-10.295618337925822,-10.255478373987444,1,0,100,100,0,0,12,12,0.9834754113227,1.3637996146764717
7,2020gadal,PCH District Dalton Event,1,District,8261.838610528499,8050.013084197213,8993.34308286716,9317.588787274475,9387.673431025385,8981.871553984221,8919.56344574169,8907.824429198132,-18.900414913103038,-18.726703277697784,-17.973047514325646,-18.62754991565553,-18.740541168098698,-17.60041600753228,-17.813173769321306,-17.50126264549002,17332.1858874268,15620.663539739082,15817.48720982387,15688.908121325283,31027.85187128387,29214.15802998976,22441.986170263943,22332.799039810034,3.4076485400359493,8.727013352356057,13.122912583774175,16.14224335369606,-8.58569880558842,-5.50173497187305,1.1295652381497894,1.9134950294669781,3,33,66,66,66,33,25,16,0.9743609702008285,-0.17371163540525458
8,2020gagai,PCH District Gainesville Event presented by Automation Direct,0,District,8888.491547627162,8185.703014175384,10672.436443326575,10461.588459883244,9014.776740854277,8658.613041180295,10839.036511378648,10934.967584005923,-22.416578358257297,-21.513756254828337,-26.183258401190002,-25.537106562115042,-21.804698644567715,-21.409747766906797,-25.571378687500406,-25.433098074193495,13047.95650707163,11749.601071420935,13599.436957717086,15563.338894178254,12457.933635162222,11738.234615544652,13779.204701801955,15552.810661196156,-17.380855790287594,-10.935634146608098,-5.812750381295503,-1.199890547124718,-12.581487474159022,-7.161721268701497,-1.0133820651669692,2.5740223307818937,1,100,0,0,0,0,12,12,0.9209327556103272,-0.9028221034289601
9,2020ilch,Midwest Regional,1,Regional,11002.678959412102,10565.817294832208,8865.021460094922,8580.18890932913,9736.511174110998,9405.404018587054,8247.224312508612,8043.819125748615,12.183924286162743,12.364029015589336,11.92178683185779,11.932203560211896,3.2690275772120745,3.4506575815616256,3.0068901229071296,3.018832126184234,36854.23358801437,32757.237113009593,29216.30234601465,27740.5628961443,36310.52784968189,33417.89096539958,30163.698246567626,29130.642415484523,21.24393488732247,17.773695648802576,16.770939141452374,15.093674703643972,26.131030125272414,22.925485891466504,21.658034379402373,20.245464946307873,3,0,100,66,0,0,12,4,0.9602949730523413,0.18010472942659383
