,event,key,color,team1,team2,team3,score,iter,scorePredStd,scorePredHybrid,scorePredSplitFoul,scorePredHybridSplitFoul,margin,marginPredStd,marginPredHybrid,marginPredSplitFoul,morginPredHybridSplitFoul,auto,autoCell,teleop,endgame,foulsDrawn,opp1,opp2,opp3,oppScore,foulsMade,compLevel,matchNumber
4,2020arli,2020arli_qm5,blue,4330,5889,6855,15,1,83.8600839923354,84.60029724138408,70.06056748173243,70.80078073078124,-124,-48.00498694471938,-55.078072034721885,-75.13521654348774,-82.20830163349015,5,0,10,10,0,3250,4336,6055,139,-3,qm,5
19,2020arli,2020arli_qm20,blue,4336,16,5729,78,1,133.7685748200609,151.26438413039423,113.21590148709707,130.71171079743064,2,52.935445587123255,64.79943305675069,33.96640171841166,45.83038918803922,27,12,36,30,15,3480,3937,7702,76,0,qm,20
43,2020arli,2020arli_qm44,blue,5013,6640,6055,72,1,137.76629731764973,143.72679120814544,122.03492853564256,127.99542242613823,14,61.59858462976297,66.37380060911,61.84167441105264,66.61689039039965,31,16,41,30,0,537,5454,6840,58,0,qm,44
83,2020arli,2020arli_qm84,blue,6055,3616,4635,241,1,157.45234552527717,160.70483252737807,145.87648728339278,149.12897428549377,168,82.11661560270949,72.44664998605751,68.41492126718396,58.744955650532006,49,34,102,70,90,3468,5437,4576,73,-3,qm,84
31,2020bcvi,2020bcvi_qm32,blue,3598,3008,6719,212,1,114.19154939722772,118.41026510814953,123.57664500893311,127.79536071985494,189,76.98425547675119,87.95516625256514,63.08116630659831,74.05207708241227,34,24,10,10,168,7781,7173,5118,23,0,qm,32
84,2020bcvi,2020bcvi_qm9,red,5015,4270,6390,65,1,130.61495155781768,144.44036984978226,111.61625706979835,125.44167536176286,-10,41.69254514408709,48.079706361375074,19.743285826957305,26.130447044245216,18,8,47,25,0,7158,7169,244,75,0,qm,9
0,2020cadm,2020cadm_qm1,blue,3859,5496,5199,63,1,115.5498940130591,122.01014756664316,107.24856902073341,113.70882257431738,-63,7.207327168973819,5.279462057285642,2.488870445750905,0.5610053340625427,20,10,28,10,15,3647,5107,4276,126,-33,qm,1
5,2020caln,2020caln_qm6,blue,115,4,4414,107,1,177.14311471870343,174.6952500589298,173.68962285929078,171.2417581995171,3,37.409981082302636,47.19533519582464,32.950999040869135,42.736353154391026,44,34,63,30,0,2584,1138,2429,104,0,qm,6
76,2020caln,2020caln_qm77,blue,2102,8129,4481,217,1,129.24125706213778,133.00507201044627,140.46586704785167,144.22968199616008,175,95.15249637364481,106.143096858636,106.39049347047236,117.38109395546346,35,20,113,65,69,3328,5089,1661,42,0,qm,77
24,2020caln,2020caln_qm26,blue,1388,3863,6934,35,2,85.20801631849625,97.734110365496,94.52566669296684,107.05176073996653,-107,-36.02193804395935,-32.263984259417654,-33.930412594358614,-30.17245880981686,10,0,25,10,0,1661,2429,4414,142,0,qm,26
76,2020ctnct,2020ctnct_qm1,red,166,1153,1027,40,1,110.87120362552818,116.72851060444123,109.88860025538358,115.74590723429664,-27,10.962428427029394,35.95261950844909,4.078836098522174,29.069027179941884,26,16,14,10,0,3623,181,6723,67,0,qm,1
14,2020ctnct,2020ctnct_qm15,blue,2877,1027,316,27,2,93.71817367480543,94.56850793953917,83.17477718574398,84.02511145047771,-38,38.63672767118014,42.519204602602315,29.934270885075847,33.816747816498065,10,0,17,10,0,3719,173,1735,65,-15,qm,15
40,2020ctnct,2020ctnct_qm42,blue,1740,1153,2262,76,3,135.50401561791702,141.46281709963154,123.53728679688281,129.49608827859734,-4,36.52323423625565,47.52003523151605,24.859059877839243,35.85586087309963,31,16,42,35,3,1991,1735,2067,80,0,qm,42
129,2020ctwat,2020ctwat_qm58,red,8085,236,839,190,1,124.81330364960809,114.94521469116397,122.18115470300224,112.31306574455814,65,15.421356234644136,13.533333004887098,24.032904845352192,22.144881615595168,45,30,115,70,30,558,8167,716,125,0,qm,58
16,2020gadal,2020gadal_qm17,blue,1771,4516,4910,112,1,179.4962381448425,180.90137640231418,169.26572616067597,170.67086441814766,98,136.38338213577532,136.69244518045736,124.76127893564615,125.07034198032821,53,38,59,10,0,7451,8050,6887,14,0,qm,17
17,2020gadal,2020gadal_qm18,blue,8094,6705,1795,164,1,81.96041065601848,90.5786635274263,86.15113703790199,94.76938990930981,125,46.250351464167096,45.64783727961513,63.10409331731367,62.501579132761734,15,0,59,50,90,3581,6712,3329,39,-21,qm,18
60,2020gadal,2020gadal_qm61,blue,4516,6905,7514,138,1,76.85281145961646,66.6446064606744,81.81668843274979,71.60848343380778,47,21.03589889172187,2.6856775425756467,29.23631243493265,10.88609108578651,25,10,53,30,60,5734,7470,4026,91,-18,qm,61
47,2020gagai,2020gagai_qm48,blue,6919,7538,4188,58,1,107.6709912914709,122.92464178409074,97.45681665589244,112.71046714851222,-32,2.934557364620048,19.992900460582817,1.4449114010020168,18.503254496964686,14,4,44,35,0,4701,8083,7104,90,-3,qm,48
36,2020ilch,2020ilch_qm37,blue,1756,4241,4702,173,1,117.62823094472748,113.83289869459591,120.90694770647033,117.11161545633877,102,26.220779526944824,14.350372074601296,23.673480560272424,11.803073107928839,35,20,135,90,3,4296,1675,2022,71,-9,qm,37
60,2020ilch,2020ilch_qm61,blue,5822,5934,101,150,1,90.557497999545,88.71959133690302,105.28644640721038,103.44853974456849,100,73.10714264522062,59.40026435769522,81.4703600131422,67.76348172561693,35,20,85,45,30,3197,8014,6906,50,-15,qm,61
153,2020ilch,2020ilch_qm64,red,2039,63,4296,130,1,78.34436294154926,69.29451014115139,82.57320719797868,73.52335439758077,1,-46.01474997335963,-49.81434213839063,-31.56462960975209,-35.36422177478316,25,10,75,65,30,2022,1781,930,129,0,qm,64
60,2020isde1,2020isde1_qm2,red,7079,7845,2096,50,1,114.92433875337403,111.55374993449306,109.22828957914638,105.8577007602654,-23,47.38521042902673,39.61731820179352,38.80651282913328,31.038620601900078,22,12,25,15,3,1574,3034,6230,73,-15,qm,2
65,2020isde1,2020isde1_qm8,red,3083,5715,7079,28,2,82.77295264530336,90.77919672762766,73.2471815956669,81.25342567799122,-91,-24.32275048457346,0.5963051632204781,-40.262132407215745,-15.343076759421834,16,6,12,10,0,7845,7112,5990,119,-3,qm,8
8,2020isde1,2020isde1_qm9,blue,5554,1580,5747,121,3,82.13385366897592,66.3413025812515,95.54854658946316,79.75599550173874,70,40.71708914387945,25.739900612068084,50.577388650464144,35.60020011865278,33,18,73,65,15,6738,3034,5038,51,-9,qm,9
57,2020mabri,2020mabri_qm58,blue,190,8023,88,45,1,114.41251813875017,119.60368581110667,110.29357295221867,115.48474062457515,-93,-24.353536708052886,-14.665180352981267,-31.161576928441505,-21.473220573369844,33,18,12,5,0,6201,2168,1768,138,0,qm,58
132,2020mabri,2020mabri_qm57,red,121,126,4169,164,1,100.33808376568945,93.56206610639266,87.98862663451675,81.21260897521992,113,47.882605197435026,47.76531429556374,43.084331081908886,42.96704018003753,43,28,61,15,60,3958,6620,3205,51,0,qm,57
76,2020mabri,2020mabri_qm2,red,6329,6731,2079,56,2,109.47628293407442,116.71731115668739,105.6151346443364,112.85616286694932,-22,17.06649699381512,30.145805981217663,8.405370093861393,21.484679081263863,23,8,33,10,0,7164,78,6201,78,0,qm,2
78,2020mabri,2020mabri_qm4,red,97,5000,1768,17,2,82.25486775124179,78.84878370666937,76.26302261071577,72.85693856614333,-20,21.97571220033636,15.258524628071086,24.76268829516703,18.045500722901757,5,0,12,10,0,4908,121,3958,37,0,qm,4
81,2020mabri,2020mabri_qm7,red,8013,3958,88,57,2,113.93088236129772,118.69949183977674,109.50831959668236,114.27692907516133,48,78.12522192007432,87.37163363325212,62.762241864003194,72.00865357718095,31,16,14,10,12,1922,97,1757,9,0,qm,7
19,2020mdbet,2020mdbet_qm20,blue,611,6584,4242,162,1,98.68122879179406,87.99733715039386,96.61105093376285,85.92715929236269,133,47.03056132344406,39.27390320863027,39.65066859026137,31.894010475447608,19,4,65,50,78,5243,6213,2537,29,-6,qm,20
84,2020mijac,2020mijac_qm7,red,2611,8377,8393,199,1,95.33110485386891,100.50233311627146,88.87375405021109,94.04498231261368,175,58.452450345505554,68.61428984399521,45.28578936497633,55.447628863466036,15,0,49,35,135,6591,8275,6092,24,-6,qm,7
0,2020mijac,2020mijac_qm1,blue,4568,1023,5523,21,2,78.10879578410062,91.66278196075876,95.28633196873176,108.84031814538989,-31,-8.006180574831106,12.056180763256577,13.944052402734854,34.00641374082251,5,0,16,10,0,6877,7197,7222,52,0,qm,1
