,event,key,color,team1,team2,team3,score,scorePredStd,scorePredRobust,scorePredHybrid,scorePredRobustHybrid,scorePredSplitFoul,scorePredRobustSplitFoul,scorePredHybridSplitFoul,scorePredRobHybSplitFoul,margin,marginPredStd,marginPredRobust,marginPredHybrid,marginPredRobustHybrid,marginPredSplitFoul,marginPredRobustSplitFoul,marginPredHybridSplitFoul,marginPredRobHybSplitFoul,auto,autoCell,teleop,endgame,foulsDrawn,opp1,opp2,opp3,oppScore,foulsMade,compLevel,matchNumber,alliance,allianceOpp,alliancePair,weight,weightPair
87,2020arli,2020arli_qf1m1,blue,364,5006,2333,98,79.7519667397911,71.15605734241527,80.92305433052769,74.75316981681758,58.03609034355847,51.44178486078947,59.207177934295146,55.03889733519169,-72,-73.34312259186302,-80.70899532764733,-80.36294105688182,-86.59943313090488,-95.43124139825647,-100.59080368013194,-102.45105986327519,-106.48124148338955,33,18,65,45,0,3937,3959,1723,170,-30,qf,1,8,1,81,0.5,0.5
88,2020arli,2020arli_qf2m1,blue,4265,4635,3250,141,197.21508310629295,181.21681936724684,200.13172551216547,190.45880756909918,150.79010269223915,142.70714611650988,153.70674509811172,151.94913431836216,-25,57.66963827048937,39.532151847764226,58.76012703374468,50.79371249124634,13.043176108980958,-1.6531196071164231,14.13366487223638,9.608441036365576,49,34,89,35,3,5013,537,6055,166,-15,qf,1,5,4,54,0.5,0.5
89,2020arli,2020arli_qf3m1,blue,3039,1421,2080,85,108.95888058538748,110.51968776276168,115.58136675969752,115.84629640000132,99.14932248857198,99.78932865897885,105.77180866288204,105.11593729621848,-47,-29.308185529982836,-41.60125875811413,-25.821858019835616,-35.98720917275823,-48.08231901839213,-56.691673041890525,-44.59599150824492,-51.07762345653464,40,30,30,5,15,2992,4336,1912,132,0,qf,1,7,2,72,0.5,0.5
90,2020arli,2020arli_qf4m1,blue,2393,5568,6855,137,161.7122656421439,172.98092416564378,158.83554144141536,164.55820597715973,150.03304305750538,158.4768712568652,147.1563188567769,150.0541530683812,-34,-24.393053475671337,-21.70103531974172,-33.13824890627819,-34.682050790176305,-43.88433824851475,-43.46195588320484,-52.62953367912169,-56.44297135363934,34,24,100,75,3,4087,16,4576,171,-15,qf,1,6,3,63,0.5,0.5
91,2020arli,2020arli_qf1m2,blue,364,5006,2333,84,79.7519667397911,71.15605734241527,80.92305433052769,74.75316981681758,58.03609034355847,51.44178486078947,59.207177934295146,55.03889733519169,-92,-73.34312259186302,-80.70899532764733,-80.36294105688182,-86.59943313090488,-95.43124139825647,-100.59080368013194,-102.45105986327519,-106.48124148338955,39,24,30,10,15,3937,3959,1723,176,-3,qf,2,8,1,81,0.5,0.5
92,2020arli,2020arli_qf2m2,blue,4265,4635,3250,163,197.21508310629295,181.21681936724684,200.13172551216547,190.45880756909918,150.79010269223915,142.70714611650988,153.70674509811172,151.94913431836216,-2,57.66963827048937,39.532151847764226,58.76012703374468,50.79371249124634,13.043176108980958,-1.6531196071164231,14.13366487223638,9.608441036365576,27,12,136,65,0,5013,537,6055,165,-18,qf,2,5,4,54,0.5,0.5
93,2020arli,2020arli_qf3m2,blue,3039,1421,6640,100,130.55329463759546,145.11167580997454,132.40921232743364,140.38434173562854,114.46538238657611,124.85405227037255,116.32130007641425,120.12671819602652,-29,-7.713771477774856,-7.009270710901262,-8.994012452099497,-11.44916383713101,-20.65397427452295,-19.896557940129995,-21.934215248847664,-24.33645106635977,43,28,42,10,15,2992,4336,1912,129,0,qf,2,7,2,72,0.5,0.5
94,2020arli,2020arli_qf4m2,blue,2393,5568,6855,131,161.7122656421439,172.98092416564378,158.83554144141536,164.55820597715973,150.03304305750538,158.4768712568652,147.1563188567769,150.0541530683812,-105,-24.393053475671337,-21.70103531974172,-33.13824890627819,-34.682050790176305,-43.88433824851475,-43.46195588320484,-52.62953367912169,-56.44297135363934,41,26,90,70,0,4087,16,4576,236,0,qf,2,6,3,63,0.5,0.5
95,2020arli,2020arli_sf1m1,blue,5013,537,6055,139,139.54544483580358,141.68466751948262,141.3715984784208,139.66509507785284,122.61573589061331,128.42643674693645,124.44188953323051,126.40686430530675,-61,-13.549644495850544,-10.18038515057998,-19.91439690898872,-21.68750786986962,-21.65019557205582,-16.54838060777135,-28.014947985194013,-28.055503327060876,49,34,87,70,3,3937,3959,1723,200,-15,sf,1,4,1,41,0.25,0.5
96,2020arli,2020arli_sf2m1,blue,4087,16,4576,194,186.10531911781524,194.6819594853855,191.97379034769355,199.24025676733604,177.96775741064158,183.80803462977886,183.83622864052003,188.36633191172936,83,47.83825300244493,42.5610129645097,50.57056556816042,47.406751194576486,28.2037490832152,25.23920859721781,30.936061648930774,30.08494682728454,65,50,84,40,45,2992,4336,1912,111,-15,sf,1,3,2,32,0.16666666666666666,0.5
